ticker,signal,trades,winrate_%,avg_ret_%,median_ret_%,profit_factor,avg_RR,pct_stop,pct_tp1,pct_tp2,pct_timeout
LENT,ЛОНГ,2,100.0,11.084,11.084,inf,1.21,0.0,100.0,0.0,0.0
MTSS,ЛОНГ,9,100.0,5.362,5.311,inf,1.77,0.0,44.4,0.0,55.6
PHOR,ЛОНГ,1,100.0,4.585,4.585,inf,1.52,0.0,100.0,0.0,0.0
NLMK,ШОРТ,1,100.0,3.992,3.992,inf,0.84,0.0,100.0,0.0,0.0
NMTP,ЛОНГ,9,100.0,3.566,3.889,inf,1.31,0.0,77.8,0.0,22.2
MTSS,ШОРТ,4,100.0,2.779,2.784,inf,1.79,0.0,0.0,0.0,100.0
GAZP,ШОРТ,1,100.0,2.464,2.464,inf,0.55,0.0,100.0,0.0,0.0
TATN,ШОРТ,1,100.0,0.822,0.822,inf,0.19,0.0,100.0,0.0,0.0
GAZP,ЛОНГ,6,66.7,3.613,6.731,3.61,1.6,33.3,16.7,50.0,0.0
FEES,ЛОНГ,12,66.7,0.732,0.983,1.81,3.61,0.0,0.0,0.0,100.0
ROSN,ЛОНГ,11,63.6,3.451,5.126,3.47,1.98,36.4,36.4,0.0,27.3
TATN,ЛОНГ,22,54.5,4.161,3.977,3.42,1.96,45.5,13.6,36.4,4.5
AFLT,ЛОНГ,34,52.9,1.804,2.856,2.04,2.08,44.1,44.1,0.0,11.8
MAGN,ЛОНГ,21,52.4,1.224,4.09,1.55,2.25,38.1,9.5,0.0,52.4
IRAO,ЛОНГ,14,50.0,0.654,-0.745,1.41,2.71,50.0,14.3,0.0,35.7
FEES,ШОРТ,2,50.0,0.36,0.36,1.47,2.68,0.0,0.0,0.0,100.0
SNGSP,ШОРТ,2,50.0,0.198,0.198,1.16,1.25,50.0,50.0,0.0,0.0
SBER,ШОРТ,2,50.0,0.197,0.197,2.24,1.67,0.0,0.0,0.0,100.0
SIBN,ЛОНГ,12,41.7,-0.604,-2.708,0.72,1.96,58.3,16.7,8.3,16.7
BELU,ЛОНГ,18,38.9,1.403,-3.032,1.71,2.9,55.6,5.6,27.8,11.1
CBOM,ЛОНГ,17,35.3,-1.685,-2.947,0.32,1.83,58.8,23.5,0.0,17.6
PHOR,ШОРТ,3,33.3,0.737,-0.236,2.17,2.72,33.3,33.3,0.0,33.3
SBER,ЛОНГ,3,33.3,-1.242,-2.946,0.38,2.71,66.7,0.0,0.0,33.3
NLMK,ЛОНГ,11,27.3,-1.662,-4.66,0.51,1.42,72.7,18.2,0.0,9.1
SNGSP,ЛОНГ,34,26.5,-1.076,-2.244,0.5,3.0,55.9,8.8,0.0,35.3
LENT,ШОРТ,19,26.3,-1.388,-1.676,0.31,2.47,47.4,5.3,0.0,47.4
GMKN,ШОРТ,3,0.0,-2.93,-3.111,0.0,7.51,100.0,0.0,0.0,0.0
IRAO,ШОРТ,1,0.0,-4.485,-4.485,0.0,1.18,100.0,0.0,0.0,0.0
MAGN,ШОРТ,1,0.0,-4.694,-4.694,0.0,2.5,100.0,0.0,0.0,0.0
