ticker,signal,total_signals,win_5d,acc_5d_%,avg_ret_5d,win_10d,acc_10d_%,avg_ret_10d,win_20d,acc_20d_%,avg_ret_20d
AFLT,ЛОНГ,42,17,40.5,0.59,20,47.6,2.15,23,54.8,1.18
AFLT,ALL,42,17,40.5,0.59,20,47.6,2.15,23,54.8,1.18
FEES,ЛОНГ,20,10,50.0,0.42,12,60.0,0.86,10,50.0,0.26
FEES,ALL,20,10,50.0,0.42,12,60.0,0.86,10,50.0,0.26
GAZP,ЛОНГ,8,5,62.5,0.98,7,87.5,5.82,6,75.0,1.6
GAZP,ALL,8,5,62.5,0.98,7,87.5,5.82,6,75.0,1.6
GMKN,ЛОНГ,8,1,12.5,-2.85,1,12.5,-4.49,0,0.0,-5.92
GMKN,ALL,8,1,12.5,-2.85,1,12.5,-4.49,0,0.0,-5.92
IRAO,ЛОНГ,22,14,63.6,1.19,14,63.6,0.13,10,45.5,0.33
IRAO,ALL,22,14,63.6,1.19,14,63.6,0.13,10,45.5,0.33
LENT,ЛОНГ,2,2,100.0,8.35,2,100.0,2.93,2,100.0,6.9
LENT,ALL,2,2,100.0,8.35,2,100.0,2.93,2,100.0,6.9
MAGN,ЛОНГ,27,14,51.9,-0.24,8,29.6,-1.9,11,40.7,-1.04
MAGN,ALL,27,14,51.9,-0.24,8,29.6,-1.9,11,40.7,-1.04
MTSS,ЛОНГ,10,7,70.0,1.48,8,80.0,3.86,9,90.0,4.41
MTSS,ALL,10,7,70.0,1.48,8,80.0,3.86,9,90.0,4.41
NMTP,ЛОНГ,12,11,91.7,2.0,10,83.3,1.47,11,91.7,2.68
NMTP,ALL,12,11,91.7,2.0,10,83.3,1.47,11,91.7,2.68
PHOR,ЛОНГ,4,2,50.0,0.6,1,25.0,-0.1,1,25.0,-0.27
PHOR,ALL,4,2,50.0,0.6,1,25.0,-0.1,1,25.0,-0.27
ROSN,ЛОНГ,13,8,61.5,1.87,8,61.5,3.12,8,61.5,4.39
ROSN,ALL,13,8,61.5,1.87,8,61.5,3.12,8,61.5,4.39
SBER,ЛОНГ,6,4,66.7,-0.03,4,66.7,-0.56,1,16.7,-1.02
SBER,ALL,6,4,66.7,-0.03,4,66.7,-0.56,1,16.7,-1.02
TATN,ЛОНГ,22,16,72.7,2.67,14,63.6,4.74,14,63.6,5.01
TATN,ALL,22,16,72.7,2.67,14,63.6,4.74,14,63.6,5.01
