indicator,direction,signals,avg_contrib,acc_5d_%,avg_ret_5d,acc_10d_%,avg_ret_10d,acc_20d_%,avg_ret_20d
EMA_trend,медвежий (−),2,-2.0,50.0,0.06,100.0,-1.26,100.0,-2.22
Stoch,бычий (+),66,1.32,65.2,1.75,69.7,2.16,63.6,2.14
RSI,бычий (+),85,1.11,65.9,1.94,69.4,2.15,61.2,2.21
Bollinger,бычий (+),55,1.27,63.6,1.48,65.5,1.96,65.5,2.01
Stoch,медвежий (−),60,-1.35,58.3,-0.54,63.3,-0.86,55.0,-0.86
RSI_div,бычий (+),120,3.0,63.3,1.53,62.5,1.64,60.0,1.71
Bollinger,медвежий (−),70,-1.46,55.7,-0.09,57.1,-0.49,54.3,-0.86
RSI_div,медвежий (−),113,-2.0,54.0,0.2,54.9,0.12,52.2,-0.28
RSI,медвежий (−),103,-1.37,52.4,0.15,54.4,0.06,49.5,-0.06
MACD,бычий (+),129,1.18,54.3,0.79,52.7,0.63,50.4,0.43
Volume,бычий (+),37,1.0,51.4,1.02,51.4,1.42,40.5,-0.03
Candles,бычий (+),10,1.0,60.0,0.81,50.0,1.18,80.0,3.57
Candles,медвежий (−),26,-1.0,61.5,-0.05,50.0,0.15,57.7,-1.39
Volume,медвежий (−),32,-1.0,62.5,-0.46,50.0,-0.22,59.4,-0.16
MACD,медвежий (−),130,-1.19,46.2,0.76,46.2,0.97,43.1,0.9
MA_align,бычий (+),54,1.0,51.9,0.43,40.7,-0.3,48.1,-0.52
MA_align,медвежий (−),58,-1.0,41.4,1.55,36.2,1.98,37.9,1.89
